,count,season,speaker
8,509.0,1.0,Michael
4,231.0,1.0,Jim
2,222.0,1.0,Dwight
10,166.0,1.0,Pam
9,42.0,1.0,Oscar
3,38.0,1.0,Jan
26,1892.0,2.0,Michael
20,853.0,2.0,Dwight
22,761.0,2.0,Jim
28,620.0,2.0,Pam
21,234.0,2.0,Jan
31,163.0,2.0,Ryan
46,1981.0,3.0,Michael
39,929.0,3.0,Dwight
41,770.0,3.0,Jim
48,645.0,3.0,Pam
34,388.0,3.0,Andy
40,297.0,3.0,Jan
67,1630.0,4.0,Michael
62,683.0,4.0,Jim
59,543.0,4.0,Dwight
69,525.0,4.0,Pam
71,226.0,4.0,Ryan
54,222.0,4.0,Andy
88,2153.0,5.0,Michael
79,1063.0,5.0,Dwight
83,867.0,5.0,Jim
90,704.0,5.0,Pam
74,495.0,5.0,Andy
81,269.0,5.0,Holly
109,1970.0,6.0,Michael
105,922.0,6.0,Jim
102,809.0,6.0,Dwight
111,704.0,6.0,Pam
96,536.0,6.0,Andy
103,295.0,6.0,Erin
131,1391.0,7.0,Michael
121,692.0,7.0,Dwight
126,677.0,7.0,Jim
134,611.0,7.0,Pam
116,551.0,7.0,Andy
122,310.0,7.0,Erin
140,1124.0,8.0,Andy
145,946.0,8.0,Dwight
148,866.0,8.0,Jim
154,475.0,8.0,Pam
146,425.0,8.0,Erin
156,404.0,8.0,Robert
166,1060.0,9.0,Dwight
170,797.0,9.0,Jim
177,731.0,9.0,Pam
160,636.0,9.0,Andy
161,379.0,9.0,Angela
167,377.0,9.0,Erin
